ID	logFC
DNAJC10	1.4489325
FSIP2	1.8574624
GULP1	-0.87107515
STAT4	-3.5843897
SDPR	-1.9720321
ANKRD44	-1.6638861
CFLAR	-1.5510597
CDK15	-2.6435976
CTLA4	-4.296977
ICOS	-3.2220116
CPS1	1.6181935
SPAG16	1.3089179
IGFBP2	1.4215393
CXCR2P1	-4.6473217
CXCR2	-4.9336853
PNKD	0.69114965
WNT6	-3.1939592
WNT10A	-5.231499
CRYBA2	1.8869967
CCDC108	1.9040655
IHH	1.3697147
ABCB6	0.9730119
GLB1L	-1.9313788
DOCK10	-2.7587104
SLC19A3	1.6505709
SPHKAP	-1.7195028
SP110	-0.9187794
SP140	-5.966056
GPR55	-6.6910653
C2orf72	1.895916
NMUR1	-1.7134814
KCNJ13	-4.2043757
INPP5D	-3.4015622
UGT1A10	-7.1876044
ARL4C	-2.7662678
LRRFIP1	-0.83080673
TWIST2	-3.5340943
SNED1	-1.3910855
NEU4	-7.841132
PDCD1	-4.803767
ZCCHC3	0.5177851
FAM110A	-1.3318977
SIRPG	-6.161608
SIGLEC1	-5.72332
PRNP	-1.5501394
LOC149837	-3.595732
GPCPD1	-1.7092632
PAK7	4.5990167
FLRT3	3.0962906
RIN2	-0.6973581
THBD	-3.6070943
NAPB	-1.2791581
CST7	-7.449689
FRG1B	-7.3896813
HCK	-3.9425445
PLAGL2	1.8656664
POFUT1	1.5294094
ZNF341	-0.87466437
SPAG4	-3.1012845
TGIF2	1.3961143
SLA2	-6.7251773
SAMHD1	-2.0151033
GHRH	-2.6596184
VSTM2L	2.8879318
PPP1R16B	-4.386384
MAFB	-2.0086803
STK4	-0.74841785
PI3	5.110893
SDC4	1.305522
TNNC2	-3.2079015
PLTP	-1.0650463
MMP9	-4.5553055
CD40	-2.522934
PREX1	-2.558473
CEBPB	-1.1064272
CSTF1	0.32027858
CASS4	-3.6673272
CTSZ	-1.6692514
ZNF831	-5.0772457
HRH3	-1.571157
SLCO4A1	-1.4741573
ARFRP1	-0.6386338
TEKT4P2	-2.151639
SAMSN1	-5.6609383
TMPRSS15	-9.181855
TIAM1	-2.4031658
C21orf119	-4.2221575
C21orf63	-3.888976
TCP10L	-2.071157
OLIG1	-2.734995
CLIC6	3.64425
PSMG1	0.61123806
MX2	-2.3260965
UBASH3A	-5.773991
LINC00313	-1.6157035
ICOSLG	-1.4403691
TRPM2	-4.9096446
LRRC3	1.4931221
ITGB2	-4.5789237
LOC100505746	-4.923424
S100B	-6.374873
TPTEP1	-2.3387542
TBX1	-5.123935
TXNRD2	-3.6393814
RIMBP3	-1.2860134
SLC7A4	2.0249457
PI4KAP2	1.5332875
MIR650	-6.2740555
IGLL5	-12.489794
RTDR1	2.3651514
VPREB3	-3.6480193
SMARCB1	0.4995127
DERL3	-3.3924112
GGT5	-2.098999
ADORA2A	-1.293066
UPB1	-4.451065
SEZ6L	-2.9679906
ASPHD2	-0.88393307
MIAT	-2.652882
EMID1	1.4923105
GAS2L1	-1.707058
OSM	-3.3266258
OSBP2	1.8205767
ISX	1.8759317
APOL3	-3.8693871
APOL1	-0.99487114
CSF2RB	-5.7935114
IL2RB	-6.111545
RAC2	-4.7127295
MFNG	-3.189021
SOX10	-5.8573422
APOBEC3A	-1.9089766
APOBEC3B	1.0622686
APOBEC3G	-1.2833714
APOBEC3H	-2.0887542
CBX7	-1.7969332
GRAP2	-6.082613
ST13	0.44232938
TEF	-0.9549875
CSDC2	2.9663587
MEI1	-3.030106
TNFRSF13C	-3.0203931
NAGA	-0.35632232
CYP2D6	-3.6235647
NFAM1	-4.421214
SCUBE1	-3.2916555
SULT4A1	-7.341306
PARVG	-5.7844534
KIAA0930	-1.0734949
C22orf26	-1.5144572
GTSE1	1.2233413
PIM3	-1.4468726
TYMP	-2.824377
ODF3B	-2.2458677
KLHDC7B	-3.9525862
CHL1	-6.3281116
IL5RA	-3.6421804
LRRN1	2.9359226
EDEM1	-0.97705173
OXTR	3.089057
RAD18	-1.4490023
ATP2B2	-2.642078
SYN2	-4.181824
FGD5	-1.6088572
SH3BP5	-1.3009644
GALNTL2	-3.6059458
THRB	1.6853762
LOC644990	3.4275622
NGLY1	-0.88138956
EOMES	-3.8610015
TGFBR2	-1.0602188
GPD1L	-1.3227034
TRIM71	3.4712667
PLCD1	0.7109032
CSRNP1	-0.9458113
CCK	-2.1596947
CCDC13	-2.2781885
ZNF662	-6.552643
KRBOX1	-3.9002273
SNRK	-1.1113825
CLEC3B	-2.6081724
CCR9	-6.09111
CXCR6	-7.513341
XCR1	-4.6885886
CCR1	-4.6875963
CCR3	-4.467045
CCR2	-6.885769
CCR5	-7.120901
SHISA5	0.59041023
SLC26A6	1.1446093
IMPDH2	0.6297788
CCDC36	-3.0734043
USP4	-0.39388844
HYAL1	-2.1556377
CACNA2D2	-0.8729305
CISH	-1.612299
PARP3	-1.3911982
TLR9	-2.3111157
SEMA3G	-4.0482793
NT5DC2	1.8673897
ITIH3	1.2256279
ARHGEF3	-1.3299284
DNASE1L3	-7.460734
FAM107A	-5.369199
LMOD3	-1.8363928
LOC201617	2.0441976
CNTN3	2.3117745
GBE1	-0.585197
DHFRL1	-0.7815914
RETNLB	-5.90777
TRAT1	-4.955219
CD96	-8.342803
GCET2	-1.6752748
BTLA	-4.676673
CD200R1	-4.823557
SIDT1	-2.1453652
TIGIT	-6.378503
CD80	-3.241613
HCLS1	-4.9638534
CD86	-5.2328854
CSTA	-4.0812006
PARP15	-4.5198116
DIRC2	0.43129584
KLF15	-1.9382105
CHST13	2.9542332
GATA2	-4.237898
CPNE4	-4.33836
SLCO2A1	-3.1352463
SLC25A36	0.38089183
C3orf58	2.0866933
CPA3	-9.208931
HPS3	-0.6533661
CP	-5.822423
PFN2	1.530941
GPR171	-6.1506515
P2RY14	-1.8333849
P2RY13	-5.6037617
P2RY12	-3.756287
MBNL1	-0.60709184
C3orf33	1.4147801
VEPH1	2.4155862
RARRES1	3.7735004
MFSD1	-0.2923431
WDR49	-4.87779
ARPM1	1.162324
LRRIQ4	2.2383575
RPL22L1	1.5852203
ECT2	0.9893389
LAMP3	-2.9280899
MCF2L2	-2.318944
KLHL6	-4.637787
ABCC5	-1.1068554
C3orf65	-1.9293967
KNG1	5.0286474
ST6GAL1	1.4935073
CLDN1	5.3020926
CLDN16	2.3789883
TMEM207	3.0049987
IL1RAP	1.4523453
ATP13A4	5.2661266
MUC4	-2.470776
SDHAP1	-0.6321544
CEP19	-0.6059365
NCBP2	0.39745998
PIGZ	3.0280895
ZNF732	1.7085323
ABCA11P	0.94613737
FAM53A	-1.4473746
FGFR3	1.7745723
NAT8L	-3.230007
ZFYVE28	-2.6969547
MSX1	2.8138995
CYTL1	4.0332212
JAKMIP1	-3.8600237
PPP2R2C	-3.822117
DEFB131	-4.5202937
CLNK	-2.296273
HS3ST1	-1.2842159
CD38	-5.4839463
FGFBP2	-4.09196
TAPT1	-0.6042118
LCORL	0.7572374
GPR125	1.1377877
PPARGC1A	-2.079317
STIM2	-0.5412779
TLR10	-4.146491
TLR6	-3.6097512
TMEM156	-5.140065
RHOH	-6.5755644
NSUN7	0.808
PHOX2B	-5.837177
NIPAL1	2.1548767
TXK	-3.7644987
LRRC66	-1.4909104
RASL11B	2.824369
KIT	-2.0622902
SPINK2	-3.6247363
STAP1	-3.8430226
UGT2B4	3.9761295
SULT1E1	2.3563242
MUC7	3.1538725
IGJ	-11.160107
AFP	12.281181
AFM	3.722353
CXCL1	-2.5955462
CXCL9	-6.4008923
CXCL10	-2.66968
CXCL11	2.9257197
SCARB2	0.4993543
FAM47E	1.8470347
CCNG2	1.5018778
CXCL13	-5.2161074
BMP3	-1.023128
SCD5	2.009986
ABCG2	-4.1464815
PPM1K	-0.93977594
HERC5	-3.7133284
MMRN1	-6.2980757
METAP1	0.7832079
ADH6	-4.22492
ADH1B	-2.4023004
CCDC109B	-1.5526471
CFI	1.5919256
EGF	4.0646462
ARSJ	2.8393612
UGT8	0.6855955
PRSS12	1.6882205
TNIP3	-3.8857985
ANXA5	1.0707846
CCNA2	0.92399025
GYPE	-3.329742
SMAD1	0.6589222
TLR2	0.65492725
FGB	6.9769206
FGA	6.0584545
LRAT	-3.5420113
NPY2R	-2.5683339
RXFP1	-2.0279717
LOC100506013	4.250416
TRIM61	2.6162336
TLL1	-2.5668774
ANXA10	7.7145014
MFAP3L	1.9869975
GALNTL6	-3.1582246
MAFIP	-5.292602
TERT	2.0050402
IRX2	4.29838
C5orf38	2.7571223
ADCY2	2.2336235
LOC100505738	-4.334151
ANKRD33B	-2.765851
CDH12	6.4590845
CDH10	-1.490675
AMACR	1.9540558
SPEF2	1.4874781
IL7R	-7.821155
SKP2	1.0446873
LIFR	-1.5824003
FYB	-5.901759
C6	2.5989838
C5orf39	-3.4999878
C5orf34	1.384963
GZMK	-5.547668
GZMA	-8.501438
IL31RA	3.2875128
GAPT	-5.172305
CENPK	1.3992271
CD180	-4.976469
CCDC125	-7.005499
OCLN	1.294961
LOC100272216	-2.35271
ZNF366	-4.0341215
HMGCR	0.51642805
S100Z	-2.3980641
CRHBP	-2.7605724
BHMT2	-5.7582808
RASGRF2	-1.7091718
ACOT12	-3.534094
GPR98	1.7567432
MCTP1	-3.3471289
ST8SIA4	-2.7291408
SLCO4C1	2.1122246
CAMK4	-1.1171244
CCDC112	-1.0292192
LOX	1.8948855
CEP120	-0.52720827
ALDH7A1	0.26880267
FLJ33630	-0.9077625
ACSL6	-2.8745103
FSTL4	1.6443517
C5orf20	-4.198106
SLC25A48	-1.6925136
CDC25C	0.8928985
MZB1	-8.009059
CXXC5	1.5073347
IGIP	-1.6969929
HARS	-0.16293247
PCDHA4	4.2052956
PCDHA6	3.8799648
PCDHA11	3.8534513
PCDHA12	4.671596
PCDHB2	3.403284
PCDHB5	2.6470776
PCDHB7	-2.9277563
PCDHGA2	-2.8021922
PCDHGA3	-2.7392633
PCDHGB2	-3.2670593
PCDHGA6	-3.9038863
PCDHGA7	-3.0092103
PCDHGB4	3.8307889
PCDHGA9	-3.5573716
PCDHGB6	3.0566587
PCDHGA12	-4.1414766
NR3C1	-0.43809217
C5orf46	5.140544
FBXO38	0.36681658
HTR4	-2.380097
ADRB2	-4.082158
IL17B	3.780449
HMGXB3	0.714551
CD74	-5.229084
DCTN4	0.3494158
ZNF300P1	-4.629177
GM2A	-0.7629442
ITK	-7.6354084
C5orf52	-3.1934028
GABRB2	2.2442336
DOCK2	-5.7868834
LCP2	-4.7691107
LOC257358	-1.7619841
GABRP	-3.5129414
STK10	-1.1186533
DUSP1	-2.9184399
NKX2-5	2.7510135
HMP19	-3.7607784
FAF2	0.67681503
HK3	-5.1021023
FGFR4	0.5786028
F12	-4.0153236
GRK6	-0.45949653
DOK3	-2.2629766
LOC202181	-1.4670051
RNF130	-1.0255985
MAPK9	-0.28136736
FLT4	-2.3915353
IRF4	-6.8609304
SERPINB9	-2.2639775
NQO2	-1.133492
FAM50B	-3.252847
PPP1R3G	1.8129258
LY86	-4.26128
ERVFRD-1	-3.6554508
PHACTR1	-2.2408893
GFOD1	-2.3648748
NHLRC1	-1.3885616
RNF144B	-1.8162003
DCDC2	3.8891716
CMAHP	-2.4018216
HFE	1.5847883
HIST1H2BD	1.213253
BTN3A2	-1.4464064
BTN3A3	-1.7144183
ZNF322	1.1404213
LOC100507173	1.4262319
NKAPL	-3.458266
HLA-E	-1.8937414
CCHCR1	-3.4396605
HLA-B	-2.4206543
CLIC1	2.4942803
VWA7	3.2391315
STK19	2.4205315
ATF6B	-4.8735824
HLA-DMA	-1.240675
HLA-DPA1	-1.8767551
PACSIN1	-3.6769335
DEF6	-1.3791733
FANCE	0.741271
FKBP5	-4.0845776
CLPS	3.0640485
CPNE5	-1.3038001
FGD2	-5.2424335
KCNK16	2.4627085
NCR2	-2.436015
FOXP4	1.3578013
TFEB	1.0126848
TTBK1	-2.98484
RUNX2	-2.3934827
RCAN2	-1.1503105
PLA2G7	-4.83574
GPR115	3.8913708
C6orf141	2.4880834
GSTA4	0.8563442
MLIP	-1.8767551
BMP5	-1.4474154
PRIM2	0.7038927
DDX43	-3.1766732
MB21D1	-1.6366539
BCKDHB	1.0426997
UBE3D	0.57056904
PGM3	0.8829613
PRSS35	5.5005183
MRAP2	-2.4721088
NT5E	-3.294218
RARS2	0.7103224
HACE1	-0.6292372
AKD1	0.5505553
DDO	-5.1508703
FYN	-0.98890686
FAM26F	-3.5836978
ROS1	3.2608
SERINC1	-0.42294028
TPD52L1	0.7791957
THEMIS	-6.1152797
SAMD3	-1.8036809
VNN1	-5.2279625
VNN2	-3.1215456
SGK1	-3.2431583
MYB	-0.95588964
TNFAIP3	-1.3095331
STX11	-1.0656666
PPP1R14C	2.034625
PLEKHG1	-0.9559307
VIP	-8.156986
FBXO5	0.9773607
IPCEF1	-3.686074
TAGAP	-6.1908793
SOD2	-0.63528156
CAHM	-2.4279196
RNASET2	-1.4196577
C6orf123	-3.7735944
DACT2	3.4508781
LINC00574	1.4629691
PDGFA	1.0959262
RADIL	-1.7772479
MIOS	-0.4134912
ANKMY2	0.4267674
ITGB8	1.6867323
FAM126A	-0.6236724
GPNMB	-2.6549568
RPS2P32	-3.2587638
SKAP2	-0.91851044
CPVL	-2.3429155
CHN2	-2.4133344
NOD1	-0.8295259
AQP1	-1.004979
CCDC129	-2.5705714
PDE1C	-1.8892431
HERPUD2	-0.39839363
EEPD1	-1.7848897
AOAH	-6.0982413
ELMO1	-2.3107233
GPR141	-3.1941202
TARP	-6.110001
LOC100506776	-5.510854
C7orf10	1.2784061
FLJ35390	-2.09688
MYO1G	-6.6873035
RAMP3	-5.569592
IKZF1	-6.9402204
PSPH	1.8139839
CCT6A	0.40518185
ZNF736	-3.6378536
ZNF680	-1.0652848
ZNF92	0.48372033
GUSB	0.7925081
NCF1B	-4.5312653
FZD9	-1.7299206
ELN	4.1006117
LAT2	-4.217467
GTF2IRD1	1.3709135
NCF1	-6.070105
GTF2IRD2B	0.5325318
NCF1C	-4.8873634
CCL24	-4.936781
FGL2	-3.747096
GNAT3	-2.1422849
KIAA1324L	3.251954
ABCB1	-5.770645
RUNDC3B	-5.063504
DBF4	0.65496635
STEAP1	1.4850396
GATAD1	0.43707755
SAMD9L	-1.7088795
PON3	-6.508449
DYNC1I1	-3.1975694
TAC1	-5.9032083
BHLHA15	-3.3570757
ARPC1B	-1.241496
CYP3A4	-3.4531603
TRIM4	-1.8205566
AZGP1	-2.5492883
CNPY4	1.0604886
PVRIG	-3.046895
PILRA	-1.9683638
LRCH4	-0.91731644
ACHE	-1.5110936
EMID2	4.274516
SH2B2	-1.3495077
RASA4	-1.3247428
LHFPL3	1.8723538
LOC723809	2.271999
PIK3CG	-3.702475
DUS4L	0.6198492
MDFIC	-1.1542482
TFEC	2.5030012
WNT16	-3.4696445
CADPS2	0.57757
PAX4	3.4948945
IRF5	-1.5076718
TSPAN33	-0.97382545
CPA4	2.6181324
CPA1	3.9373648
MEST	2.7219038
COPG2	0.8136592
FLJ43663	-2.6064048
EXOC4	0.5527649
TMEM140	-0.87225956
WDR91	-0.94926405
AKR1D1	1.6705316
TBXAS1	-4.054236
LOC100507421	-4.365563
WEE2	5.1486926
MGAM	-4.8625784
TRY6	-3.7058625
TRPV6	-6.708914
PDIA4	0.5867396
ACTR3C	-1.7113168
LRRC61	-1.773426
C7orf29	-2.2140493
LOC285972	-5.2603893
GIMAP8	-4.778532
GIMAP7	-6.2874475
GIMAP4	-4.3136296
GIMAP6	-4.1695933
GIMAP2	-4.22545
GIMAP1	-5.023452
GIMAP5	-2.2729957
LOC100131176	-2.4748344
LOC100132707	-1.4663892
SHH	2.0483394
LOC100506585	-3.49778
DEFA6	-8.541223
DEFA5	-8.794333
PPP1R3B	1.5013409
FAM167A	-1.4153485
BLK	-4.673937
VPS37A	-0.71942234
ASAH1	0.93077946
DOK2	-5.0313187
EPB49	1.0764332
TNFRSF10D	1.0438247
CHMP7	-0.40359682
NKX3-1	-1.5280912
ADAMDEC1	-2.9907074
STMN4	-4.3279653
CLU	1.5008221
PBK	0.99534845
ELP3	0.58626175
PNOC	-4.8853865
FUT10	1.0084596
UNC5D	-2.8118548
ERLIN2	0.7029391
IDO1	-6.807675
C8orf4	-2.175683
GINS4	1.0543116
IKBKB	-0.5463256
CEBPD	-2.1617403
FAM150A	3.077125
OPRK1	6.743293
XKR4	-2.7993302
LYN	-1.1046324
PLAG1	1.3570594
SDR16C5	-7.272098
SDCBP	-0.52276325
GGH	2.1468773
DNAJC5B	-3.9404953
MYBL1	-2.651805
PREX2	-2.1876926
TRPA1	-2.3839812
LY96	-3.9644685
STMN2	-2.5601482
PMP2	-3.228496
E2F5	0.91203696
CA1	8.167532
ATP6V0D2	-4.871138
PTDSS1	0.595294
SYBU	-2.6844025
TNFRSF11B	3.8167686
ENPP2	-2.1663208
DEPTOR	0.6418905
SNTB1	0.78620243
WDR67	-0.78810215
LOC157381	2.0177755
LOC100130231	-3.819745
KCNQ3	-4.2913013
TMEM71	-5.6930733
SLA	-4.8706226
DENND3	-1.4157491
BAI1	-3.1037097
ARC	-4.1373644
LY6E	1.4731779
PYCRL	0.71562576
PARP10	-1.0306376
GRINA	0.697855
DOCK8	-3.4610004
CD274	-1.9669952
FLJ41200	-2.7258465
TTC39B	1.5783014
SH3GL2	-1.6367377
KIAA1797	1.0302182
PTPLAD2	-1.6948833
C9orf82	0.7709179
DDX58	-0.6347522
SPINK4	-2.9346771
PRSS3	-7.3164606
DCAF12	0.26808164
C9orf24	-2.8864732
CCL19	-6.5198174
CCL21	-9.00482
KIAA1045	-2.4217472
CD72	-2.0783613
SIT1	-5.685837
CA9	-4.088789
TMEM8B	1.0670538
ZBTB5	0.39035988
ALDH1B1	1.4571371
KGFLP2	-3.241613
LOC100132352	-2.7730925
KLF9	-3.3787336
FRMD3	-2.3194523
C9orf64	-2.736927
GOLM1	1.6322689
LOC440173	3.8881984
C9orf79	3.3260536
CDK20	1.3591905
IPPK	-0.37886143
FGD3	-2.8010964
SUSD3	-0.7976889
LINC00092	-2.3569655
CTSL2	2.4717097
C9orf30	0.934421
BAAT	3.1993663
SUSD1	0.76926523
ZNF883	0.9696726
AMBP	4.463855
AKNA	-2.5421247
TNFSF8	-5.044033
ASTN2	-0.73864985
DBC1	-3.0703237
TRAF1	-1.8297982
C5	-2.2844963
GSN	-0.9644699
NAIF1	-0.24639079
CERCAM	1.6740351
DOLK	0.5263643
FAM78A	-2.8339157
PPAPDC3	-2.098106
NTNG2	-1.7766914
AK8	4.0420957
GTF3C5	0.49000838
CEL	4.872346
CELP	1.3230724
RALGDS	-0.7199373
ABO	-2.9604506
FCN1	-5.0548563
LCN9	4.276865
LCN10	-3.2488217
LCN12	2.709097
PTGDS	-3.2701116
NPDC1	-0.9482947
C9orf169	4.076376
RNF224	4.2284193
SLC34A3	2.1355476
NRARP	0.5900135
LOC100233156	-3.5100875
LOC283788	-7.4051504
PRKX	-1.8038034
KAL1	4.10845
GPR143	2.6198363
TLR7	-4.4695787
TLR8	-5.2741556
FANCB	1.152099
BMX	-2.970944
ZRSR2	-0.82268333
SH3KBP1	-0.44852734
CNKSR2	-2.8246078
KLHL34	-4.912738
CXorf21	-4.8314357
CYBB	-3.9758015
GPR82	-4.682432
RGN	1.5753508
CFP	-4.409399
WAS	-6.369926
GATA1	-2.5229957
PCSK1N	1.6885719
PIM2	-2.555172
SYP	-1.057735
MAGED1	1.4505033
MAGED2	1.6550732
ZXDA	-5.763725
ASB12	2.257671
ZC4H2	0.488203
MIR223	-3.065477
EDA2R	2.1399202
STARD8	-1.6575646
EDA	2.452488
NONO	0.4555368
ERCC6L	1.0572848
NAP1L2	-2.5324636
CYSLTR1	-4.650819
P2RY10	-5.130739
GPR174	-4.217166
TNMD	5.2138567
TSPAN6	2.5941572
SRPX2	1.7800884
CSTF2	0.6696939
NOX1	4.6875887
TIMM8A	0.6524644
BTK	-5.4525967
ARMCX6	1.0400147
ZMAT1	-1.5457706
ARMCX5	0.5056925
BEX1	2.7102032
MUM1L1	4.2784224
CLDN2	1.9382734
MORC4	0.598319
TSC22D3	-2.2361765
DOCK11	-1.4142417
FAM70A	-3.9424732
SH2D1A	-4.4335427
SASH3	-6.6046796
IGSF1	6.054742
GPC3	3.243927
FAM122B	-0.57743126
MOSPD1	0.494843
LOC100128420	-2.8534775
CD40LG	-5.4073815
ARHGEF6	-2.0339932
IDS	-1.260045
HMGB3	0.58783907
L1CAM	-4.9479423
AVPR2	-4.5699406
ARHGAP4	-2.2005148
RENBP	1.3195186
GAB3	-2.5264826
F8	-2.2727451
CLIC2	-3.797401
TBL1Y	4.7316
