ID	adj.P.Val	P.Value	logFC
IFI27	0.028280696	0.002287563	-4.3484282
SERPINA10	0.011122385	5.38E-04	3.8389368
SERPINA4	0.015015994	8.48E-04	6.544178
SERPINA5	0.035087574	0.003179932	2.4890761
C14orf64	0.030088432	0.002495272	-2.9030998
EVL	0.011753261	5.82E-04	-0.7815399
WARS	0.020460384	0.001383184	-0.8155698
BEGAIN	0.015015994	8.49E-04	-1.3504562
DLK1	0.0129135	6.82E-04	7.671629
DIO3OS	0.03534349	0.003228	3.369842
MIR1247	0.005227684	1.62E-04	3.470131
DIO3	0.03112816	0.00266242	4.3856907
PPP2R5C	0.008323058	3.46E-04	-0.36229995
HSP90AA1	0.014852438	8.37E-04	-0.38897032
GPR132	4.08E-05	6.03E-08	-4.8506546
KIAA0125	0.001836678	3.27E-05	-5.7553062
PWRN1	0.020679701	0.001421531	2.8694963
FAM189A1	0.048792694	0.005370326	-3.4589586
MTMR10	0.027925322	0.002241381	-0.83045095
OTUD7A	1.90E-04	6.66E-07	-3.9263136
RASGRP1	0.020721357	0.001426747	-2.221406
PLCB2	0.009874656	4.51E-04	-3.3100753
C15orf62	0.01825058	0.00116546	1.0050378
OIP5-AS1	0.016604012	0.00101232	-0.416768
OIP5	0.043125916	0.004428381	0.82696056
TYRO3	0.012143476	6.20E-04	1.0137743
PLA2G4E	0.022217475	0.001582729	2.6114304
CASC4	0.041773587	0.00422859	0.73877335
SLC30A4	0.010461951	4.92E-04	-2.5109262
CTXN2	0.007795424	3.15E-04	-1.9906749
ATP8B4	0.006377221	2.24E-04	-1.9780998
HDC	0.015261066	8.84E-04	-5.0818753
MYO5A	0.011053162	5.33E-04	-2.2412906
RAB27A	0.03181848	0.002759254	-0.83036226
ZNF280D	0.046687532	0.004982265	-0.9115639
AQP9	0.03961194	0.003901159	-3.8681188
LIPC	0.047373515	0.00512616	-2.547122
BNIP2	0.018537669	0.001190106	-0.54551506
RORA	0.02031845	0.001367949	-1.6333437
RAB8B	0.045157466	0.004747381	-1.211769
APH1B	0.049804315	0.005549447	0.91708946
SNX1	0.007616067	2.95E-04	-0.21944433
CLN6	0.006300341	2.20E-04	0.27277654
CD276	0.04162987	0.004200132	1.3157405
PSTPIP1	0.003075573	7.09E-05	-3.9834027
SH2D7	0.004145104	1.11E-04	-1.2913951
DNAJA4	0.012263753	6.30E-04	-2.1560817
IREB2	0.027664438	0.002201592	0.6121931
CHRNA5	0.005028824	1.51E-04	-1.1834215
C15orf37	0.002305605	4.53E-05	1.416534
BCL2A1	0.002411464	4.81E-05	-3.1287436
MESDC1	0.045252286	0.004767454	-0.7117176
IL16	3.73E-04	2.45E-06	-3.8224645
TM6SF1	0.045713503	0.004849778	-1.5206847
ACAN	0.035087574	0.003190097	3.7873247
ARRDC4	0.015971627	9.53E-04	1.6562662
LYSMD4	0.01894016	0.001233148	0.8607674
ALDH1A3	0.049273238	0.005454003	-1.7367468
HBA2	0.001647821	2.67E-05	-7.8900933
HBA1	0.012362064	6.37E-04	-6.1946974
RGS11	0.023093686	0.001680542	-3.86168
ARHGDIG	0.003872492	1.01E-04	-6.167588
FBXL16	5.68E-04	4.90E-06	-3.025689
MSLN	0.020512575	0.001394906	3.7881393
LMF1	0.0460766	0.004901377	-0.6016221
TPSB2	5.30E-05	9.62E-08	-8.957847
TPSAB1	6.05E-05	1.41E-07	-8.966349
TPSD1	4.63E-04	3.65E-06	-3.7806427
UBE2I	0.01420154	7.76E-04	0.44850162
TMEM204	0.043683667	0.004515409	-1.1180124
SYNGR3	0.043940227	0.004549411	-3.575245
ABCA17P	0.043273278	0.004458251	-1.7173976
PRSS22	0.047366846	0.005116003	2.619285
CLDN6	0.005810091	1.93E-04	6.159239
MMP25	0.00776687	3.11E-04	-2.584785
MEFV	1.91E-04	6.81E-07	-4.952757
NLRC3	0.001837499	3.29E-05	-3.1607838
GRIN2A	0.028257387	0.002282469	-3.1414835
ATF7IP2	0.005125841	1.56E-04	1.9835978
EMP2	0.003206971	7.61E-05	-1.0659761
CIITA	1.63E-04	5.26E-07	-7.485716
SHISA9	0.006559358	2.36E-04	-4.6070666
ABCC6P1	0.001383454	2.04E-05	1.5536509
ACSM5	0.014785082	8.30E-04	-3.0769691
ACSM1	0.020912372	0.001447022	-3.8439116
LOC81691	0.027131753	0.002131716	0.5318188
DCUN1D3	0.015106459	8.61E-04	0.9369897
LYRM1	0.044328175	0.004616202	0.7483558
LOC100271836	0.006651922	2.42E-04	-1.4168358
HS3ST2	0.018052092	0.001143562	-1.6749164
PALB2	0.04425144	0.00460424	0.4292707
AQP8	5.18E-05	8.82E-08	7.532296
NSMCE1	0.017922107	0.001132953	-1.1984744
IL21R	0.003528995	8.71E-05	-4.111427
CLN3	0.019945089	0.001328202	1.116105
CD19	8.78E-04	1.05E-05	-5.1893454
SPNS1	0.04954287	0.005495077	0.40477946
LAT	0.0053729	1.68E-04	-2.844759
RRN3P2	0.01192517	5.99E-04	-1.8468574
SPN	1.42E-04	4.20E-07	-5.660224
QPRT	0.034686387	0.003120849	1.4458561
C16orf54	0.002163602	4.15E-05	-2.7489767
SEZ6L2	0.0049475	1.46E-04	2.3904877
ASPHD1	0.006724679	2.47E-04	2.210145
HIRIP3	0.04221416	0.004289229	-0.7036743
CORO1A	0.00180699	3.18E-05	-5.4258156
1-Sep	7.23E-04	7.43E-06	-3.7134538
ITGAL	1.02E-04	2.56E-07	-5.9516296
ZNF764	0.015211898	8.74E-04	0.6013965
ITGAM	0.015106459	8.61E-04	-5.3858547
ITGAX	0.002458713	4.93E-05	-6.366662
C16orf87	0.023048814	0.001672834	0.45035747
SNX20	0.00142993	2.14E-05	-4.777765
NOD2	0.008661673	3.70E-04	-2.499114
CYLD	0.019200467	0.001253365	-1.1828747
MT2A	0.024023978	0.001785059	-3.2774615
MT1E	0.013666008	7.35E-04	-3.4907131
MT1M	0.011980478	6.04E-04	-6.5628653
MT1A	0.01225542	6.29E-04	-4.102187
MT1F	0.034472067	0.003085795	-2.7947135
MT1G	0.026620982	0.002071713	-4.2370725
MT1H	0.018266423	0.001167508	-5.33099
NLRC5	8.50E-04	9.84E-06	-2.9814272
CCL22	2.56E-04	1.20E-06	-5.575321
GPR114	0.016468968	9.98E-04	-1.7036281
GPR56	0.012563386	6.57E-04	1.8593044
GPR97	5.69E-05	1.10E-07	-6.648526
SLC38A7	0.015751699	9.39E-04	1.1063442
TK2	0.007088359	2.69E-04	-0.99892426
NOL3	0.003696466	9.42E-05	-1.664475
TPPP3	0.015106459	8.61E-04	-1.4801936
RLTPR	0.001137684	1.54E-05	-5.6632957
GFOD2	0.017850198	0.00112368	-1.0774269
DPEP3	0.045770116	0.004858382	-2.3629696
DPEP2	0.020471826	0.001390136	-4.142842
ESRP2	0.025123494	0.001902409	0.97156906
PLA2G15	0.04921349	0.005444576	0.90249294
TMCO7	0.015053076	8.54E-04	-1.3182068
HAS3	0.007795424	3.15E-04	-3.4986377
IL34	0.0208372	0.001439455	-1.3889703
CALB2	0.00776687	3.10E-04	-4.457904
ZNF19	0.044344842	0.004626544	0.8298817
ZNF821	0.003696089	9.36E-05	0.8734112
HP	0.03562836	0.003266152	-3.0082073
MLKL	0.002269986	4.41E-05	-1.9930468
CLEC3A	0.002886774	6.42E-05	5.1941495
PKD1L2	0.01825058	0.001160428	-3.1961002
BCMO1	0.019566668	0.001286061	-2.507081
PLCG2	0.010017024	4.63E-04	-1.5569754
SDR42E1	2.10E-06	3.58E-10	-7.395871
NECAB2	0.044712827	0.004670012	-2.8250546
DNAAF1	0.010807566	5.13E-04	-2.232121
ADAD2	0.015261066	8.84E-04	-2.5443046
WFDC1	0.049925737	0.005582886	1.4752922
COTL1	7.85E-04	8.73E-06	-1.3697928
IRF8	0.00414457	1.10E-04	-1.924262
FBXO31	0.005789512	1.91E-04	-0.6933079
KLHDC4	0.025071617	0.001892788	-0.44079593
SNAI3	0.004669443	1.32E-04	-2.800568
CBFA2T3	0.010959858	5.26E-04	-1.9216795
SLC22A31	0.009374897	4.16E-04	-3.9263287
CPNE7	0.0234613	0.001724606	-3.661851
DEF8	0.02686371	0.002099752	-0.36904055
GAS8	0.034738798	0.003137278	-1.6829252
DOC2B	0.022010066	0.001556709	-3.4463036
FAM57A	0.007086665	2.68E-04	0.2834931
SERPINF2	0.009375489	4.17E-04	3.1031208
RPA1	0.027452216	0.002170684	0.27609542
ASPA	0.03923975	0.00380503	-2.4796147
CTNS	6.86E-04	6.71E-06	0.6950554
P2RX5	4.22E-04	3.02E-06	-5.203564
ALOX15	0.004301802	1.16E-04	-5.3879385
VMO1	0.022497728	0.00161291	-2.6156738
INCA1	0.043799076	0.004532311	0.5801634
ZFP3	0.004354366	1.18E-04	-1.7281647
ZNF232	0.025839228	0.001989794	0.7173982
SCIMP	0.001603204	2.53E-05	-4.813655
NLRP1	0.002506914	5.29E-05	-3.7888098
SLC13A5	0.00171836	2.91E-05	5.490966
XAF1	0.03353522	0.002973379	-1.4647503
ALOX12P2	0.011777911	5.85E-04	1.9340069
SLC16A11	7.17E-04	7.31E-06	-1.8965402
CLEC10A	4.08E-08	4.63E-12	-8.53449
YBX2	0.010084561	4.69E-04	-2.454764
ACAP1	7.57E-04	8.03E-06	-4.254801
GUCY2D	0.009871763	4.50E-04	2.448818
ALOX15B	0.014771561	8.28E-04	-3.8469787
ALOX12B	0.035087574	0.003181903	1.3297086
PER1	0.027664438	0.002201597	-2.5414782
VAMP2	0.018907815	0.001226238	-0.46744633
PIK3R5	0.01562598	9.27E-04	-5.59179
PIRT	0.015676452	9.32E-04	-3.9172158
ARHGAP44	0.029035984	0.002370083	-2.008407
TRPV2	0.001268178	1.80E-05	-4.056953
USP32P1	0.017132934	0.001061022	-4.114487
TNFRSF13B	0.012486477	6.50E-04	-4.6274586
PLD6	0.019925859	0.00132447	-2.0891218
DRG2	0.047812358	0.005202719	0.5417242
USP32P2	0.04267017	0.004364628	-3.3154087
CCDC144B	0.027762698	0.002220449	-2.7942548
B9D1	0.011069372	5.35E-04	1.592267
SLC47A1	0.037789814	0.003580133	-2.2048488
CCDC144NL	2.24E-04	8.66E-07	2.5808272
C17orf51	6.05E-05	1.35E-07	-6.8139486
WSB1	0.040396214	0.004012793	0.74431896
TMEM97	0.014852438	8.37E-04	1.2957968
VTN	0.042420458	0.004327638	2.2357402
CRLF3	0.014375292	7.93E-04	-0.74310637
OMG	0.025426196	0.001939568	-2.734995
EVI2B	0.009818896	4.46E-04	-6.444155
EVI2A	0.002459999	5.01E-05	-5.7957726
CDK5R1	0.014069411	7.67E-04	-2.4882007
CCL8	0.026251955	0.002034053	-4.1529527
CCL13	0.019768154	0.00131062	-5.0363545
SLFN5	0.017754365	0.001114624	-2.153201
SLFN11	0.010058768	4.66E-04	-2.0055203
SLFN12L	2.38E-04	1.04E-06	-3.5767488
CCL5	0.002955264	6.61E-05	-9.652654
RDM1	0.029831598	0.002458732	2.3548615
CCL18	0.001647821	2.67E-05	-5.6367044
CCL4	3.70E-04	2.37E-06	-6.1252193
C17orf78	0.04921349	0.005444115	-2.0336676
HNF1B	0.006724679	2.47E-04	1.6045094
IKZF3	0.003457902	8.46E-05	-5.79261
CCR7	0.0090799	3.95E-04	-4.771753
KRT222	0.008034392	3.30E-04	-4.208285
KRT13	0.009339262	4.12E-04	1.9943115
GAST	0.03289814	0.002894484	5.0457306
LEPREL4	0.002658139	5.66E-05	1.0310305
DHX58	0.005568685	1.81E-04	-1.0606245
STAT5A	0.049979128	0.005613081	-0.6910906
CCDC43	0.026073202	0.002014283	0.38100052
PLCD3	0.019719725	0.001304052	1.9991426
FMNL1	4.11E-04	2.87E-06	-4.2275505
MAP3K14	0.007647759	2.98E-04	-1.216712
WNT9B	0.019810088	0.00131565	-5.7934914
TBX21	7.84E-04	8.67E-06	-5.1857586
PNPO	0.03078413	0.002608884	-2.8278422
SKAP1	0.001114563	1.50E-05	-5.121675
HOXB9	0.036705624	0.003434212	3.1552978
GNGT2	0.020593354	0.001404366	-3.8245358
ABI3	0.022220105	0.001584997	-4.2926455
CA10	3.18E-05	4.23E-08	-4.581056
STXBP4	0.009734239	4.41E-04	1.7784038
HLF	0.003097802	7.19E-05	-2.599011
PCTP	0.009937573	4.58E-04	-0.9387455
DGKE	0.008184155	3.39E-04	-1.6844634
SCPEP1	0.020663587	0.001415949	1.277026
MSI2	0.048779283	0.005364173	0.8411612
LOC100506779	0.0475642	0.005160696	-1.30089
TBX4	0.021559717	0.001512328	2.293495
ACE	0.030782396	0.002605305	-3.8798828
LIMD2	0.002990072	6.79E-05	-1.688694
LOC729683	0.00764498	2.97E-04	-1.5674672
CD79B	0.0234613	0.001724473	-4.3639855
MILR1	0.020115966	0.001348525	-3.4369037
DDX5	0.014488751	8.01E-04	-0.45120054
SMURF2	0.015560794	9.19E-04	-0.8293962
GNA13	0.02518494	0.001911351	-0.678915
APOH	0.011128063	5.39E-04	4.0014534
PITPNC1	0.002794467	6.08E-05	-2.2519517
KPNA2	0.032891244	0.002888317	0.7965717
ARSG	0.046900235	0.005022423	-1.2343836
ABCA8	0.004631756	1.29E-04	-3.7464795
ABCA6	0.009397514	4.19E-04	-4.282325
BTBD17	0.025594879	0.001958188	2.7753592
CD300A	0.023987822	0.001781011	-4.0846148
CD300LB	0.001141571	1.56E-05	-4.456582
CD300C	0.002244973	4.32E-05	-4.154408
CD300LF	0.012376224	6.40E-04	-4.210292
TRIM47	0.006108023	2.10E-04	-1.3348613
TRIM65	0.009908848	4.54E-04	-0.35508582
SRP68	0.011351254	5.55E-04	0.31081384
SPHK1	0.016332401	9.85E-04	-2.9624424
ST6GALNAC2	0.025516802	0.001949572	-2.189957
JMJD6	0.037564777	0.003539623	-0.9000435
SEC14L1	0.04411918	0.004577579	-1.4720259
TMC8	0.002135453	4.08E-05	-3.9198394
C17orf99	0.001476278	2.27E-05	5.950403
CYTH1	0.008935666	3.85E-04	-1.3654585
SGSH	0.023654252	0.001745503	0.6008939
GCGR	0.03647361	0.003380905	-2.221878
PYCR1	0.03624234	0.003347039	1.2533226
RAC3	0.018688383	0.001201904	1.7057266
DUS1L	0.023298135	0.001703385	-1.1292019
CD7	0.003056077	7.01E-05	-6.9095187
SECTM1	0.006651841	2.41E-04	-4.7456927
WDR45L	0.03956172	0.003878248	0.39181232
MGC70870	5.69E-05	1.20E-07	-5.257365
CLUL1	0.012834259	6.75E-04	2.3055015
TYMS	0.039388135	0.003850052	1.3582911
EMILIN2	0.024448145	0.001829103	-1.0196285
FLJ35776	0.019945089	0.001328004	-1.2558866
L3MBTL4	0.005150957	1.58E-04	-2.4158602
ANKRD20A5P	0.005792896	1.92E-04	-2.4673977
C18orf8	0.037208706	0.003491286	-1.5580292
HRH4	0.009310227	4.08E-04	-2.2978795
TAF4B	0.023093686	0.001679758	-1.3859987
CHST9	0.003696466	9.42E-05	4.2776847
TTR	0.003934526	1.03E-04	3.882578
RNF125	0.006645272	2.41E-04	-3.4225864
MEP1B	0.019768154	0.001310621	-6.1278005
KLHL14	0.039970826	0.003959192	-3.1805084
NOL4	0.012882885	6.79E-04	3.652702
LOC647946	7.72E-04	8.29E-06	-2.707237
SLC14A1	0.030119788	0.002505522	-4.6710634
SKA1	0.037707526	0.003565916	0.7314272
RAB27B	0.03523335	0.00321025	1.8478794
CCDC68	0.015255915	8.82E-04	-1.9836645
LOC100505549	0.030350436	0.002546287	-1.3684286
KDSR	0.043374635	0.004471155	-0.45825765
SERPINB5	0.049507692	0.005488365	-2.7848563
CDH19	6.28E-04	5.85E-06	-6.0147133
CD226	4.15E-04	2.92E-06	-5.0581274
MBP	0.015053076	8.54E-04	-0.9951391
GALR1	0.01143368	5.59E-04	-2.4592922
KCNG2	0.04957543	0.005501502	-3.0930226
FLJ45445	0.031662215	0.002739014	2.943785
GZMM	0.001006604	1.31E-05	-5.956468
CFD	8.55E-04	1.00E-05	-5.2228274
ARID3A	8.84E-04	1.06E-05	3.4828496
ABCA7	0.030900322	0.002634517	-2.643137
HMHA1	3.15E-04	1.72E-06	-3.961237
ATP8B3	0.043273278	0.004456387	-1.256352
AMH	0.01688078	0.001035825	3.1077728
C19orf35	0.003157636	7.37E-05	-3.6833172
GADD45B	0.001199555	1.67E-05	-2.8516822
GNG7	0.026456054	0.002057376	-1.6370697
DIRAS1	0.034559626	0.003095595	-1.649579
TLE2	0.037455544	0.003525078	1.6459312
S1PR4	1.09E-05	8.01E-09	-5.5592003
MFSD12	0.020269629	0.001362277	-0.6587896
MATK	0.029927038	0.002476791	-3.4602513
TMIGD2	0.005465682	1.74E-04	-5.544594
SH3GL1	0.043268457	0.004452842	0.57544804
PLIN5	0.049979128	0.005614389	-1.6858772
PLAC2	0.040204287	0.003984599	-0.8333823
FUT6	0.032925516	0.002898761	-4.5420194
FUT3	0.003097802	7.19E-05	-5.2763233
SLC25A23	0.031455	0.002702587	-1.0596018
TUBB4A	0.014507166	8.03E-04	-4.773473
TNFSF14	8.39E-06	5.24E-09	-5.311463
VAV1	0.006768911	2.51E-04	-5.290894
EMR1	0.011753261	5.82E-04	-5.2095385
EMR4P	0.01682779	0.001029708	-4.152452
PNPLA6	0.047316093	0.005105744	-1.2109022
FCER2	2.51E-04	1.15E-06	-4.48923
CD209	0.004073281	1.08E-04	-6.412613
CERS4	0.007795424	3.15E-04	2.4934468
PRAM1	0.004996887	1.49E-04	-4.2365804
MYO1F	0.001731497	2.96E-05	-4.7868633
ZNF558	2.28E-04	9.82E-07	-7.293275
ZNF561	0.01785165	0.001124785	0.7564163
ZNF562	2.77E-04	1.40E-06	-4.5376477
ANGPTL6	0.00776687	3.11E-04	1.7740903
PPAN	0.005985376	2.01E-04	-0.5662851
ICAM1	0.039562963	0.003889612	-1.4475327
ICAM3	0.032891244	0.002890143	-1.5605145
S1PR5	0.021440156	0.001493278	3.0056326
LOC147727	0.038243316	0.003651317	-0.8982191
C19orf38	0.01942716	0.001273677	-1.6472472
RAB3D	0.009397514	4.18E-04	1.9442921
EPOR	0.006395869	2.25E-04	2.159576
ELAVL3	0.027723156	0.002214139	-3.7373872
ZNF441	0.049979128	0.005605554	-0.9839411
ZNF439	0.005379628	1.69E-04	-3.8788898
ZNF69	0.026791848	0.002089573	1.0725207
ZNF44	0.03737795	0.003515653	-0.6284017
FBXW9	0.03582277	0.003294528	0.9415574
PODNL1	0.040990096	0.004102035	1.7367101
ASF1B	0.010178479	4.74E-04	0.8841462
EMR3	8.78E-04	1.04E-05	-4.8697557
EMR2	0.00355871	8.81E-05	-5.6469226
RASAL3	0.006494946	2.31E-04	-6.7985854
CYP4F24P	0.002288396	4.47E-05	-3.493515
TPM4	0.03112816	0.002659414	0.893487
KLF2	7.12E-04	7.13E-06	-2.3730106
F2RL3	0.036476832	0.003383274	-3.7540689
PLVAP	0.014745233	8.24E-04	-3.8944774
BST2	0.007790829	3.13E-04	-1.2377462
TMEM221	0.0234015	0.001714897	3.0029314
FCHO1	0.004177798	1.12E-04	-2.2014418
JAK3	2.91E-05	3.47E-08	-3.0240088
ARRDC2	0.006559358	2.36E-04	-2.7620454
IL12RB1	0.001841463	3.30E-05	-6.142188
PIK3R2	0.03423216	0.00305849	0.981822
JUND	0.021559717	0.001512018	-0.75170046
GDF15	0.022405937	0.001605057	3.4078255
LRRC25	0.016276326	9.79E-04	-4.73502
ISYNA1	0.038470156	0.003677343	1.4537228
COMP	8.01E-04	9.09E-06	6.7579117
CILP2	0.003928229	1.03E-04	6.308448
GMIP	0.031583685	0.00272505	-1.1848974
ZNF101	0.022711454	0.001635002	-0.7878743
ZNF682	0.026308516	0.002040323	1.142456
ZNF714	0.041573413	0.004191087	1.2339544
ZNF208	0.036705624	0.003435748	-2.739263
ZNF257	0.03777913	0.003576976	-2.7681327
PLEKHF1	0.01024593	4.78E-04	-2.0695972
ANKRD27	0.011062428	5.34E-04	-0.17442697
LRP3	0.047941826	0.005224971	1.1764088
SLC7A10	0.001469467	2.25E-05	5.459753
CEBPA	0.007677137	3.02E-04	2.1311169
SCGB1B2P	0.017885214	0.00112858	-1.7735883
ZNF181	0.048016578	0.005245987	-0.39275736
HPN	0.003696466	9.50E-05	7.51231
FXYD3	0.049688995	0.005531028	2.1029453
LGI4	0.007960935	3.26E-04	-3.8721619
CD22	0.046972156	0.005052259	-2.2229886
DMKN	0.048663028	0.005347767	1.0551181
ZBTB32	0.006423335	2.27E-04	-2.5822659
IGFLR1	0.026872462	0.002105046	-2.565896
HCST	0.017052272	0.001051187	-4.4062395
DPF1	0.01825058	0.001164312	2.3356743
KCNK6	0.015264394	8.86E-04	-1.7007241
RASGRP4	0.010813448	5.14E-04	-3.9994087
RYR1	0.010699717	5.05E-04	-3.347226
MAP4K1	2.25E-04	9.03E-07	-6.252372
CAPN12	0.003395252	8.21E-05	1.7508688
LGALS7B	0.009937573	4.58E-04	3.2132308
SARS2	0.013922495	7.55E-04	0.48868367
FBXO17	0.025100624	0.001899157	1.7636474
LRFN1	0.046900235	0.005015319	-1.9290771
GMFG	0.049979128	0.005610121	-2.3210268
ZFP36	0.008752125	3.75E-04	-2.4970732
CLC	6.28E-04	5.81E-06	-7.0587535
ZNF546	0.033010382	0.002908107	-1.2516685
PLD3	0.003007224	6.86E-05	0.7623625
CYP2B6	0.020040238	0.00134231	2.854827
TGFB1	0.03919613	0.003797418	-1.0204333
CEACAM21	0.016386276	9.92E-04	-3.4719453
CEACAM7	0.033415306	0.00296085	5.6552935
CD79A	0.001753734	3.02E-05	-7.159174
ARHGEF1	0.039162427	0.003790199	-0.7841263
ATP1A3	0.020344395	0.001371922	-5.0533504
POU2F2	0.008578811	3.62E-04	-2.8026743
CNFN	0.037831247	0.003592272	1.7473447
CEACAM20	0.039562963	0.003881482	-4.990161
PVR	0.002476327	5.09E-05	1.2531567
CEACAM19	0.03523335	0.003211941	1.2515259
EXOC3L2	0.040348325	0.004005746	-3.1429057
SLC1A5	0.032162756	0.002794777	0.9181213
C5AR1	0.008988217	3.88E-04	-3.0302997
GPR77	0.003157636	7.35E-05	-3.7476513
PLA2G4C	0.001714871	2.87E-05	-3.3593817
CARD8	0.023048814	0.001671459	-0.8581662
BCAT2	0.03547332	0.003243885	0.47156718
HSD17B14	0.011287084	5.50E-04	3.1536164
TULP2	0.006132996	2.13E-04	-1.571157
NTF4	9.18E-04	1.15E-05	3.43436
PPFIA3	0.006651922	2.43E-04	-2.131102
TRPM4	0.032891244	0.002889636	-2.6139483
CD37	0.002015695	3.79E-05	-6.036518
FLT3LG	0.001505021	2.35E-05	-1.1904263
SNORD34	0.003921152	1.03E-04	-1.6157435
PTOV1	0.049410865	0.005474826	0.32649517
SIGLEC16	0.001663789	2.73E-05	-2.8352098
NAPSB	0.007647759	2.98E-04	-5.6025863
KLK10	0.023910036	0.001771164	-3.791716
KLK12	0.03987792	0.003943199	-3.95096
KLK13	0.006724679	2.46E-04	-2.4095864
SIGLEC7	0.024860937	0.001872649	-4.6870623
SIGLECP3	2.25E-04	9.55E-07	-5.317028
CD33	0.044899557	0.004709904	-4.445543
NKG7	1.41E-04	3.99E-07	-7.4105096
SIGLEC10	0.001780485	3.12E-05	-4.1871095
SIGLEC8	1.34E-05	1.52E-08	-5.7760644
SIGLEC6	4.56E-04	3.47E-06	-4.9416065
SIGLEC5	0.006943676	2.59E-04	-3.8117003
SIGLEC14	0.00398824	1.05E-04	-4.803652
FPR1	0.03890098	0.003745023	-4.651605
FPR2	0.003186287	7.51E-05	-4.0340943
FPR3	0.002488019	5.18E-05	-7.604253
ZNF577	0.004750971	1.36E-04	-2.2969766
ZNF649	0.003696089	9.37E-05	-1.278883
ZNF350	0.006026595	2.04E-04	-1.4600611
PPP2R1A	0.041201692	0.004137242	0.37524417
ZNF528	0.004274149	1.15E-04	-1.9483271
ZNF816	0.020528594	0.001397161	0.70179707
VSTM1	0.029927038	0.002474807	-3.287719
OSCAR	0.034686387	0.003128394	-3.485884
LILRA6	0.03547332	0.003242945	-2.9201255
LILRB5	0.04958492	0.005507499	-5.1487184
LILRB2	0.00583787	1.95E-04	-5.745837
LILRA5	6.86E-04	6.73E-06	-5.309032
LAIR1	0.018086495	0.001148712	-5.7173758
LILRA1	0.002498538	5.23E-05	-3.2880795
LILRB1	8.28E-06	2.48E-09	-6.576539
LILRB4	0.0288899	0.002356519	-5.4207335
LILRP2	0.044328175	0.004619802	-2.8611248
NCR1	8.28E-06	3.12E-09	-3.4434516
NLRP2	0.002459999	4.96E-05	-7.6298203
ZNF835	0.011232832	5.46E-04	-3.7246692
PEG3	0.007671039	3.00E-04	-6.282224
ZNF671	0.004677025	1.33E-04	-1.2021065
ZNF552	0.0378567	0.003599363	1.123704
ID2	0.028530091	0.002323028	1.7181034
CPSF3	0.022549966	0.001619215	0.34303373
GRHL1	0.00539945	1.70E-04	1.996079
RRM2	0.022405937	0.001604099	1.0497351
MYCN	0.005533846	1.79E-04	2.9164968
FAM49A	0.005413589	1.71E-04	-2.151105
C2orf43	0.010700614	5.06E-04	0.88523096
POMC	5.54E-04	4.72E-06	-5.6961374
OTOF	0.047182016	0.005080564	1.806602
SLC5A6	0.030601086	0.002586423	1.3058653
TRIM54	0.014695275	8.21E-04	-4.6984963
BRE	0.012870345	6.77E-04	0.24782367
NLRC4	0.001199555	1.67E-05	-2.9160886
RASGRP3	0.027089905	0.002126658	-1.506628
LOC375196	1.50E-04	4.53E-07	-2.8073716
PKDCC	0.028354796	0.002299236	1.7286415
MTA3	0.03112816	0.002666311	0.6954117
KCNK12	0.002476327	5.08E-05	-2.4981117
PPP1R21	0.021711232	0.001533109	0.44903463
NRXN1	0.01755728	0.001095275	-3.755303
PNPT1	0.025100624	0.001899253	0.6249528
FANCL	0.049979128	0.005609764	0.5976767
SLC1A4	0.014695275	8.20E-04	-0.8710785
ARHGAP25	0.030782396	0.00260699	-3.0880647
CLEC4F	2.25E-04	9.04E-07	-6.1079955
CD207	0.002506914	5.27E-05	-5.413165
PAIP2B	0.009653566	4.35E-04	-1.0058789
NOTO	6.03E-05	1.30E-07	2.647771
SMYD5	0.039293036	0.00383167	0.38049263
FBXO41	0.02299057	0.001664848	-2.707849
TLX2	0.047864538	0.00521383	-2.982062
DOK1	0.007960935	3.26E-04	-0.6675454
C2orf65	0.001353539	1.98E-05	-2.4886668
REG1A	0.003697786	9.53E-05	-7.362286
REG3A	2.98E-04	1.56E-06	-12.949675
C2orf89	0.04563188	0.004835938	1.0176868
VAMP5	0.04835625	0.005303075	-1.5453477
GNLY	1.19E-04	3.17E-07	-7.170496
ATOH8	0.01615869	9.71E-04	-1.2338495
CD8A	0.004996887	1.49E-04	-9.029707
LOC654342	0.013224236	7.07E-04	-3.4216516
MAL	0.001663789	2.73E-05	-4.9215455
KCNIP3	0.03038415	0.00255726	-3.2534962
DUSP2	0.03038415	0.002556407	-2.6164913
ITPRIPL1	0.014375292	7.92E-04	-1.1116867
ARID5A	0.029852815	0.002462175	-1.0847502
ZAP70	7.98E-04	8.97E-06	-4.5445313
NPAS2	0.03982396	0.003935603	0.6961756
IL1R1	0.012476875	6.48E-04	-1.3532791
IL1RL1	0.03407725	0.003032209	-3.501893
IL18RAP	0.005789512	1.91E-04	-5.316506
UXS1	0.03919613	0.003797911	0.9078656
SLC5A7	0.005054897	1.52E-04	-4.527098
SULT1C2	0.005465682	1.75E-04	4.1656103
SULT1C2P1	0.005442396	1.72E-04	2.8073144
MERTK	0.004825926	1.39E-04	-1.2716751
LOC654433	0.006108023	2.10E-04	-4.9148493
DDX11L2	0.03276809	0.002870021	-3.6247368
MARCO	0.027715899	0.002211986	-4.408431
PCDP1	0.040909953	0.00408937	1.6859818
INHBB	0.022711454	0.001635967	-4.310448
BIN1	0.035309292	0.003220868	0.91181374
PROC	0.007032907	2.64E-04	3.9324431
